Geneid	Length
AT1G05894	1591
AT1G05900	2889
AT1G05910	6500
AT1G05920	1477
AT1G05930	1516
AT1G05940	2891
AT1G05950	3270
AT1G05960	7609
AT1G05970	1512
AT1G05980	72
AT1G05990	793
AT1G06002	1634
AT1G06000	1587
AT1G06010	1654
AT1G06020	1914
AT1G06030	1477
AT1G06040	1644
AT1G06045	344
AT1G06050	2085
AT1G06060	1921
AT1G06070	2930
AT1G04443	247
AT1G06080	2849
AT1G06090	2993
AT1G06100	1548
AT1G06110	2320
AT1G06120	1809
AT1G06130	3182
AT1G06135	559
AT1G06137	416
AT1G06140	2226
AT1G06143	1869
AT1G06150	4742
AT1G06148	2689
AT1G06160	1086
AT1G06170	1924
AT1G04447	325
AT1G06180	1915
AT1G06190	1964
AT1G06200	2739
AT1G06210	2109
AT1G06220	4947
AT1G06225	381
AT1G06230	4094
AT1G06240	2201
AT1G06250	1721
AT1G06265	2719
AT1G06260	1156
AT1G06270	1770
AT1G06280	643
AT1G06290	4071
AT1G06310	3746
AT1G06320	927
AT1G06330	1201
AT1G06340	820
AT1G06350	1615
AT1G06360	1635
AT1G06380	1311
AT1G06390	4115
AT1G06400	2285
AT1G04453	459
AT1G06410	4193
AT1G06420	1150
AT1G06430	3159
AT1G06440	1909
AT1G06450	1380
AT1G04463	921
AT1G06460	2570
AT1G04467	472
AT1G06470	4869
AT1G06475	574
AT1G06480	74
AT1G06490	11032
AT1G06500	1252
AT1G04473	477
AT1G06515	1595
AT1G04477	384
AT1G06510	1613
AT1G06520	2453
AT1G06530	1421
AT1G06540	2041
AT1G06550	3586
AT1G06560	4392
AT1G04483	227
AT1G06570	1661
AT1G06580	2278
AT1G06590	8444
AT1G06610	73
AT1G06620	1870
AT1G06630	3783
AT1G06640	2487
AT1G06645	1669
AT1G04487	540
AT1G06650	1649
AT1G06660	3109
AT1G06670	7246
AT1G06680	1806
AT1G06690	2771
AT1G06700	3179
AT1G06710	4685
AT1G04493	314
AT1G04497	308
AT1G06720	7040
AT1G06730	2947
AT1G06740	2638
AT1G06750	3527
AT1G06760	1264
AT1G04503	484
AT1G06770	3218
AT1G06780	3831
AT1G06790	2605
AT1G04507	248
AT1G06800	2270
AT1G04513	1101
AT1G06810	802
AT1G06820	3839
AT1G06830	550
AT1G06840	5761
AT1G06850	1702
AT1G04517	84
AT1G06860	71
AT1G04523	249
AT1G06870	2475
AT1G04527	84
AT1G06880	71
AT1G06890	3364
AT1G06900	5981
AT1G06910	2811
AT1G06920	1227
AT1G06923	901
AT1G04533	560
AT1G06925	908
AT1G06930	1041
AT1G06950	5651
AT1G06960	2029
AT1G06970	3105
AT1G06980	1039
AT1G06990	1811
AT1G07000	2384
AT1G07010	2472
AT1G04537	410
AT1G07020	941
AT1G04547	86
AT1G07025	501
AT1G07030	2406
AT1G07040	2469
AT1G07050	1687
AT1G07051	230
AT1G07060	2050
AT1G04557	206
AT1G07070	1397
AT1G07080	2218
AT1G07090	1087
AT1G07100	74
AT1G07110	6172
AT1G07119	3624
AT1G07120	1869
AT1G04563	249
AT1G07128	1169
AT1G07130	958
AT1G07135	908
AT1G07140	2158
AT1G07150	2056
AT1G07160	1920
AT1G07170	1276
AT1G07175	1089
AT1G07180	2996
AT1G07190	165
AT1G07200	4242
AT1G07210	1767
AT1G07220	2725
AT1G04567	396
AT1G07230	2838
AT1G07240	1900
AT1G07250	1850
AT1G07260	1764
AT1G07270	3574
AT1G07280	3455
AT1G04573	234
AT1G07290	2981
AT1G07300	1548
AT1G07310	1850
AT1G07320	1563
AT1G07330	3117
AT1G07340	2029
AT1G07350	2804
AT1G07360	2607
AT1G07370	1517
AT1G07380	4488
AT1G07390	5280
AT1G07400	858
AT1G07410	1495
AT1G07420	2948
AT1G07430	2083
AT1G07440	1607
AT1G07450	1411
AT1G07460	1143
AT1G07470	3190
AT1G04577	238
AT1G07473	924
AT1G04583	600
AT1G07476	945
AT1G07480	3522
AT1G04587	291
AT1G07485	747
AT1G07490	642
AT1G07510	7965
AT1G07500	266
AT1G07520	2852
AT1G07530	2927
AT1G07540	3522
AT1G04593	580
AT1G07550	4028
AT1G07560	3834
AT1G07570	2632
AT1G04597	267
AT1G07580	73
AT1G07590	2915
AT1G07600	418
AT1G04603	551
AT1G07610	702
AT1G07615	2117
AT1G07620	2500
AT1G04607	421
AT1G07630	2885
AT1G07640	3383
AT1G07650	7626
AT1G07645	1000
AT1G07660	903
AT1G07670	4588
AT1G07680	1175
AT1G07690	1232
AT1G07700	1796
AT1G07705	4603
AT1G07702	81
AT1G07710	2187
AT1G07720	2098
AT1G04623	239
AT1G07725	2472
AT1G07728	2415
AT1G07740	3067
AT1G07730	1170
AT1G07745	2354
AT1G07747	288
AT1G07750	2058
AT1G07760	72
AT1G07770	2381
AT1G07780	2913
AT1G07790	853
AT1G07795	825
AT1G07810	4652
AT1G07820	978
AT1G07830	1678
AT1G07840	2684
AT1G07850	2521
AT1G07870	3319
AT1G07860	521
AT1G07880	1963
AT1G07885	1004
AT1G07890	2385
AT1G07900	1177
AT1G07902	1223
AT1G07901	153
AT1G07910	9209
AT1G07920	2551
AT1G07930	2634
AT1G07940	2597
AT1G07950	1437
AT1G07960	2172
AT1G07970	3589
AT1G07980	1964
AT1G07985	942
AT1G07990	6244
AT1G08000	2487
AT1G08005	444
AT1G08010	2238
AT1G08030	3919
AT1G08035	912
AT1G08040	3456
AT1G08050	2788
AT1G08060	9381
AT1G08065	1808
AT1G08070	2471
AT1G08080	1621
AT1G08090	2300
AT1G08100	1951
AT1G08110	2682
AT1G08115	165
AT1G08120	1047
AT1G04643	885
AT1G08125	2749
AT1G08130	5284
AT1G08135	3049
AT1G08140	3295
AT1G08150	3038
AT1G08160	1020
AT1G08165	868
AT1G08170	938
AT1G08180	958
AT1G08190	6029
AT1G08200	3027
AT1G08210	3771
AT1G08220	2369
AT1G08230	3376
AT1G08240	72
AT1G08250	1834
AT1G08260	18039
AT1G08270	1239
AT1G08280	2095
AT1G08290	3382
AT1G08300	4050
AT1G08310	1806
AT1G08315	1211
AT1G04647	1108
AT1G08320	6735
AT1G04653	207
AT1G08340	1981
AT1G08350	3057
AT1G08360	2066
AT1G08370	2627
AT1G08380	1132
AT1G08390	1214
AT1G08400	3030
AT1G08410	3297
AT1G08420	7662
AT1G08430	2709
AT1G08440	2618
AT1G08450	4160
AT1G08460	2524
AT1G08465	4012
AT1G08470	2114
AT1G08480	1527
AT1G08490	3000
AT1G08500	1371
AT1G08510	3486
AT1G08520	4642
AT1G08530	2182
AT1G08540	3566
AT1G08550	3121
AT1G08560	1476
AT1G08570	2140
AT1G08580	1539
AT1G08590	3743
AT1G08592	3295
AT1G08600	9937
AT1G08610	2224
AT1G04657	233
AT1G08620	7226
AT1G08630	4207
AT1G08640	3260
AT1G08645	783
AT1G08650	1686
AT1G08660	2986
AT1G08670	1417
AT1G08680	6384
AT1G08695	544
AT1G08700	1863
AT1G08710	1912
AT1G08720	5368
AT1G08730	9040
AT1G08750	3670
AT1G08760	3580
AT1G08770	1016
AT1G08780	1536
AT1G08790	794
AT1G08800	5254
AT1G08810	1414
AT1G08820	4128
AT1G04667	391
AT1G08830	2256
AT1G08840	9751
AT1G08845	2346
AT1G08860	4382
AT1G08870	73
AT1G08880	1207
AT1G08890	4122
AT1G08900	3579
AT1G08910	5009
AT1G04673	209
AT1G04677	429
AT1G04683	275
AT1G08920	3543
AT1G08930	3971
AT1G08940	1740
AT1G08950	72
AT1G08960	2729
AT1G08970	1852
AT1G08980	2271
AT1G08985	462
AT1G08990	2539
AT1G09000	4164
AT1G09010	4281
AT1G09020	5087
AT1G09030	422
AT1G09040	4157
AT1G09050	4144
AT1G09060	4763
AT1G09070	1606
AT1G09080	2634
AT1G09090	3848
AT1G09100	2836
AT1G09110	72
AT1G09130	2778
AT1G09140	3439
AT1G09150	3130
AT1G09155	1369
AT1G09157	856
AT1G09160	3149
AT1G09170	6286
AT1G09176	713
AT1G09180	950
AT1G09190	1614
AT1G09195	3629
AT1G09200	764
AT1G09210	4365
AT1G09220	1675
AT1G09230	3203
AT1G09240	1403
AT1G09245	520
AT1G04687	320
AT1G04693	429
AT1G09250	1287
AT1G09260	440
AT1G09270	3892
AT1G09280	3263
AT1G09290	2324
AT1G09300	4887
AT1G09310	989
AT1G09320	2518
AT1G09330	2517
AT1G09340	3306
AT1G09350	1805
AT1G09360	567
AT1G09370	663
AT1G09380	3488
AT1G09390	2537
AT1G04697	643
AT1G09400	1885
AT1G09410	2288
AT1G09415	655
AT1G09420	3412
AT1G09421	696
AT1G09430	3546
AT1G09440	2748
AT1G09450	4198
AT1G09460	1663
AT1G09470	2313
AT1G09480	2783
AT1G09483	574
AT1G09490	2014
AT1G09500	2123
AT1G09510	1554
AT1G09520	1160
AT1G09530	3887
AT1G04703	403
AT1G09540	1814
AT1G09550	2752
AT1G09560	1311
AT1G09570	5660
AT1G09575	2529
AT1G09580	1875
AT1G09590	1435
AT1G09600	3657
AT1G09610	1180
AT1G04707	874
AT1G09620	3922
AT1G09625	431
AT1G09630	1661
AT1G09640	2804
AT1G09645	1742
AT1G09650	2110
AT1G04713	303
AT1G09660	3333
AT1G04717	264
AT1G09665	667
AT1G09680	2092
AT1G09690	1497
AT1G09700	2705
AT1G09710	3520
AT1G09720	2866
AT1G09730	6768
AT1G09740	1987
AT1G09750	1648
AT1G09760	2568
AT1G13470	1485
AT1G13480	1532
AT1G13485	174
AT1G13490	1603
AT1G13500	1381
AT1G13510	1619
AT1G13520	1667
AT1G13530	1540
AT1G13540	1343
AT1G13550	1347
AT1G13560	3723
AT1G13570	2299
AT1G13580	2622
AT1G13590	1252
AT1G13600	944
AT1G13605	578
AT1G13607	554
AT1G13608	747
AT1G13609	556
AT1G13610	2300
AT1G13620	1106
AT1G13630	3649
AT1G13635	2333
AT1G13640	2859
AT1G13650	2093
AT1G13670	1248
AT1G13680	2549
AT1G13690	1129
AT1G05017	222
AT1G13700	1652
AT1G05023	280
AT1G05027	667
AT1G13710	2038
AT1G13720	72
AT1G13730	2916
AT1G13740	1975
AT1G05033	494
AT1G13750	2876
AT1G13755	682
AT1G13760	1100
AT1G13770	2947
AT1G13780	2015
AT1G13790	3656
AT1G13800	3475
AT1G13805	69
AT1G13810	1463
AT1G13820	2437
AT1G13825	905
AT1G13830	1497
AT1G13840	73
AT1G13850	73
AT1G13860	3753
AT1G13870	1481
AT1G13880	2404
AT1G13890	1587
AT1G13900	2558
AT1G13910	2300
AT1G13920	2155
AT1G13930	1710
AT1G13940	4374
AT1G05037	206
AT1G13950	1502
AT1G13960	3138
AT1G13970	3196
AT1G13980	6192
AT1G13990	1936
AT1G14000	2926
AT1G14010	1682
AT1G05043	569
AT1G14020	2656
AT1G14030	2212
AT1G05047	448
AT1G14040	4610
AT1G14048	306
AT1G14060	1185
AT1G14071	195
AT1G14080	1976
AT1G14100	1627
AT1G14110	1619
AT1G05053	208
AT1G14120	1694
AT1G14130	2048
AT1G14140	1707
AT1G14150	1023
AT1G14160	1287
AT1G05057	195
AT1G14170	2730
AT1G14180	2252
AT1G14185	1980
AT1G14190	1786
AT1G14200	1064
AT1G14205	1230
AT1G14210	1198
AT1G14220	1212
AT1G14230	2927
AT1G14240	3131
AT1G14250	3143
AT1G14260	2052
AT1G14270	2382
AT1G14280	1802
AT1G14290	2236
AT1G14300	2483
AT1G14310	1843
AT1G14315	1166
AT1G14320	1591
AT1G14330	2264
AT1G14340	1690
AT1G14345	1010
AT1G05067	558
AT1G05073	315
AT1G14350	3282
AT1G14360	2075
AT1G14370	2648
AT1G05077	334
AT1G14380	3673
AT1G05083	698
AT1G14390	2878
AT1G14400	2327
AT1G14410	2160
AT1G14420	2178
AT1G14430	2075
AT1G14440	2579
AT1G14450	1479
AT1G14453	856
AT1G14455	582
AT1G14460	4647
AT1G05093	506
AT1G14470	1666
AT1G14480	1846
AT1G14490	1085
AT1G14500	1493
AT1G14510	2922
AT1G14518	684
AT1G14520	2178
AT1G14530	2869
AT1G14540	1685
AT1G14550	1545
AT1G14560	2744
AT1G14570	3887
AT1G14580	3244
AT1G05097	236
AT1G05103	311
AT1G05107	321
AT1G14590	1944
AT1G14600	2652
AT1G14610	6381
AT1G14620	2034
AT1G14630	1854
AT1G14640	2530
AT1G14642	222
AT1G14650	4568
AT1G14660	4668
AT1G05113	200
AT1G14670	3022
AT1G14680	1214
AT1G14685	3317
AT1G14686	1253
AT1G14687	972
AT1G14688	1458
AT1G05117	264
AT1G14690	3644
AT1G14700	2558
AT1G14710	3610
AT1G14720	2153
AT1G14730	1768
AT1G14740	2803
AT1G14750	3311
AT1G14755	667
AT1G14760	949
AT1G14770	2304
AT1G14780	3344
AT1G14790	4310
AT1G14800	2987
AT1G14810	2427
AT1G05123	323
AT1G14820	2133
AT1G14830	4331
AT1G14840	3814
AT1G14850	7037
AT1G14860	1611
AT1G14870	1388
AT1G05127	348
AT1G14880	1355
AT1G14890	1109
AT1G14900	1352
AT1G14910	4024
AT1G05133	609
AT1G14920	2434
AT1G14930	842
AT1G14940	1028
AT1G14950	934
AT1G14960	988
AT1G14970	3537
AT1G14980	1451
AT1G14990	1424
AT1G15000	1603
AT1G15002	2056
AT1G05137	98
AT1G15010	776
AT1G15015	843
AT1G15020	4248
AT1G15030	2570
AT1G05143	265
AT1G15040	1516
AT1G05147	553
AT1G15050	1423
AT1G15060	3849
AT1G15080	2125
AT1G15090	74
AT1G05153	1004
AT1G15085	636
AT1G15100	931
AT1G15110	3376
AT1G15120	1902
AT1G15125	1653
AT1G15130	3978
AT1G15140	2169
AT1G15150	2568
AT1G15160	2201
AT1G15165	2395
AT1G15170	2571
AT1G15175	1415
AT1G15180	2485
AT1G15190	1221
AT1G15200	2885
AT1G15210	5542
AT1G15215	2008
AT1G15220	1513
AT1G15230	1190
AT1G15240	5311
AT1G15250	1013
AT1G15260	814
AT1G15270	1472
AT1G15280	4579
AT1G15290	8286
AT1G15310	3168
AT1G15320	1819
AT1G15330	1332
AT1G15340	2254
AT1G15350	1962
AT1G15360	1469
AT1G15370	1775
AT1G15380	2001
AT1G15385	627
AT1G15390	1303
AT1G15400	1320
AT1G05163	725
AT1G15405	292
AT1G15410	2604
AT1G15415	748
AT1G15420	2007
AT1G15430	1990
AT1G15440	3532
AT1G15450	72
AT1G15460	4222
AT1G15470	2443
AT1G15480	2658
AT1G15490	3281
AT1G15500	2586
AT1G15510	2648
AT1G15520	6469
AT1G15530	1971
AT1G15540	1787
AT1G15550	1955
AT1G05173	214
AT1G15570	3695
AT1G15580	986
AT1G15590	1374
AT1G15600	1422
AT1G15610	1183
AT1G15620	1117
AT1G15625	1156
AT1G15630	1264
AT1G15640	1354
AT1G15650	82
AT1G15660	4349
AT1G15670	1721
AT1G15680	1233
AT1G05177	454
AT1G15690	3808
AT1G05183	1301
AT1G15700	1250
AT1G15710	1781
AT1G15720	1462
AT1G05187	1224
AT1G15730	2643
AT1G05193	250
AT1G15740	4012
AT1G15750	6217
AT1G05197	244
AT1G15757	338
AT1G15760	1051
AT1G15770	1573
AT1G15772	1075
AT1G15780	6579
AT1G15790	1961
AT1G15800	2840
AT1G15810	2345
AT1G05203	442
AT1G15820	1419
AT1G05207	358
AT1G15830	2558
AT1G15825	536
AT1G15840	943
AT1G15850	844
AT1G15860	2257
AT1G15870	1346
AT1G15880	1962
AT1G15885	821
AT1G15890	2933
AT1G15900	675
AT1G15910	3930
